Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Age
9.3,0.0,0.016047301,4.0,249.8092,9.0,1.0,0.0,1.0,3735.138,15.0
5.92,1.0,0.019278216,14.0,48.2692,3.0,1.0,2.0,2.0,443.4228,25.0
17.5,0.0,0.016760075,10.0,141.618,9.0,1.0,0.0,1.0,2097.27,15.0
19.2,1.0,0.0,6.0,182.095,0.0,2.0,2.0,0.0,732.38,14.0
8.93,0.0,0.0,9.0,53.8614,1.0,0.0,2.0,1.0,994.7052,3.0
10.395,1.0,0.0,0.0,51.4008,3.0,1.0,2.0,2.0,556.6088,25.0
13.65,1.0,0.012741089,13.0,57.6588,1.0,0.0,2.0,1.0,343.5528,3.0
12.36407988494317,0.0,0.127469857,13.0,107.7622,5.0,1.0,2.0,3.0,4022.7636,1.0
16.2,1.0,0.016687114,5.0,96.9726,7.0,1.0,1.0,1.0,1076.5986,18.0
19.2,1.0,0.09444959,5.0,187.8214,2.0,1.0,1.0,1.0,4710.535,23.0
11.8,0.0,0.0,6.0,45.5402,9.0,1.0,0.0,1.0,1516.0266,15.0
18.5,1.0,0.045463773,4.0,144.1102,8.0,2.0,0.0,1.0,2187.153,13.0
15.1,1.0,0.1000135,6.0,145.4786,9.0,1.0,0.0,1.0,1589.2646,15.0
17.6,1.0,0.047257328,13.0,119.6782,8.0,2.0,0.0,1.0,2145.2076,13.0
16.35,0.0,0.0680243,6.0,196.4426,1.0,0.0,2.0,1.0,1977.426,3.0
9.0,1.0,0.069088961,2.0,56.3614,8.0,2.0,0.0,1.0,1547.3192,13.0
11.8,0.0,0.008596051,8.0,115.3492,3.0,1.0,2.0,2.0,1621.8888,25.0
9.0,1.0,0.069196376,2.0,54.3614,9.0,1.0,0.0,1.0,718.3982,15.0
9.04676582621029,0.0,0.034237682,7.0,113.2834,5.0,1.0,2.0,3.0,2303.668,1.0
13.35,0.0,0.10249212,4.0,230.5352,6.0,2.0,1.0,1.0,2748.4224,20.0
18.85,1.0,0.138190277,13.0,250.8724,1.0,0.0,2.0,1.0,3775.086,3.0
17.653017325727813,1.0,0.035399923,0.0,144.5444,5.0,1.0,2.0,3.0,4064.0432,1.0
14.6,0.0,0.025698134,9.0,196.5084,6.0,2.0,1.0,1.0,1587.2672,20.0
13.967961785299723,0.0,0.057556998,0.0,107.6938,4.0,2.0,0.0,0.0,214.3876,1.0
13.85,1.0,0.025896485,5.0,165.021,8.0,2.0,0.0,1.0,4078.025,13.0
13.0,0.0,0.099887103,9.0,45.906,2.0,1.0,1.0,1.0,838.908,23.0
7.645,1.0,0.066693437,13.0,42.3112,6.0,2.0,1.0,1.0,1065.28,20.0
11.65,0.0,0.019356132,7.0,39.1164,1.0,0.0,2.0,1.0,308.9312,3.0
5.925,1.0,0.161466534,4.0,45.5086,0.0,1.0,2.0,0.0,178.4344,14.0
15.718920740164213,1.0,0.072221801,3.0,43.6454,4.0,2.0,0.0,0.0,125.8362,1.0
19.25,0.0,0.170348551,4.0,55.7956,0.0,1.0,2.0,0.0,163.7868,14.0
18.6,0.0,0.080829372,8.0,96.4436,3.0,1.0,2.0,2.0,2741.7644,25.0
18.7,0.0,0.0,13.0,256.6672,3.0,1.0,2.0,2.0,3068.0064,25.0
17.85,0.0,0.0,1.0,93.1436,7.0,2.0,1.0,1.0,2174.5028,18.0
17.5,0.0,0.097904029,14.0,174.8738,8.0,2.0,0.0,1.0,2085.2856,13.0
10.0,0.0,0.089291137,8.0,146.7102,9.0,1.0,0.0,1.0,3791.0652,15.0
17.36196822244619,1.0,0.059511812,6.0,128.0678,5.0,1.0,2.0,3.0,2797.6916,1.0
8.85,1.0,0.113123893,14.0,122.5388,3.0,1.0,2.0,2.0,1609.9044,25.0
9.117140872461281,1.0,0.123111453,13.0,36.9874,5.0,1.0,2.0,3.0,388.1614,1.0
10.7054075775398,0.0,0.026480954,13.0,87.6198,5.0,1.0,2.0,3.0,2180.495,1.0
13.35,0.0,0.102511504,4.0,230.6352,8.0,2.0,0.0,1.0,3435.528,13.0
9.8,0.0,0.02681843,10.0,126.002,1.0,0.0,2.0,1.0,2150.534,3.0
13.6,0.0,0.117818348,13.0,192.9136,9.0,1.0,0.0,1.0,2527.3768,15.0
21.35,0.0,0.069102831,3.0,259.9278,3.0,1.0,2.0,2.0,6768.5228,25.0
12.15,1.0,0.042277867,3.0,126.5046,1.0,0.0,2.0,1.0,373.5138,3.0
6.42,0.0,0.089498926,4.0,178.1002,0.0,2.0,2.0,0.0,358.2004,14.0
19.6,0.0,0.0,8.0,153.3024,7.0,1.0,1.0,1.0,2428.8384,18.0
10.0,0.0,0.025879577,3.0,265.2226,7.0,1.0,1.0,1.0,5815.0972,18.0
15.85,1.0,0.121632721,0.0,60.622,8.0,2.0,0.0,1.0,2576.646,13.0
11.961462494228916,1.0,0.255394896,4.0,196.8794,4.0,2.0,0.0,0.0,780.3176,1.0
7.39,0.0,0.067779712,8.0,143.8812,8.0,2.0,0.0,1.0,3134.5864,13.0
10.195,0.0,0.159803853,5.0,141.5154,1.0,0.0,2.0,1.0,850.8924,3.0
9.895,1.0,0.028696932,3.0,117.0492,1.0,0.0,2.0,1.0,810.9444,3.0
10.895,0.0,0.065041581,6.0,196.3794,2.0,2.0,1.0,1.0,3121.2704,23.0
12.15,0.0,0.028760013,9.0,151.4708,2.0,2.0,1.0,1.0,4815.0656,23.0
7.905,0.0,0.010053105,13.0,249.0408,3.0,1.0,2.0,2.0,6258.52,25.0
9.195,0.0,0.048157338,9.0,106.1622,7.0,1.0,1.0,1.0,2117.244,18.0
8.365,0.0,0.071958197,7.0,38.0506,9.0,1.0,0.0,1.0,796.9626,15.0
15.1,0.0,0.173481304,13.0,194.511,8.0,2.0,0.0,1.0,4910.275,13.0
16.115122765353952,0.0,0.061082177,3.0,180.0344,4.0,2.0,0.0,0.0,892.172,1.0
10.0,0.0,0.0,6.0,246.9144,3.0,1.0,2.0,2.0,3185.1872,25.0
7.97,1.0,0.040071131,10.0,87.3514,7.0,2.0,1.0,1.0,1062.6168,18.0
9.188404680058953,0.0,0.012090074,6.0,38.2848,5.0,1.0,2.0,3.0,484.7024,1.0
8.39748977401574,1.0,0.15028599,5.0,51.0692,4.0,2.0,0.0,0.0,147.8076,1.0
16.507126599057642,0.0,0.026015519,13.0,255.8356,5.0,1.0,2.0,3.0,2543.356,1.0
17.7,0.0,0.195068226,13.0,185.4266,0.0,2.0,2.0,0.0,184.4266,14.0
19.35,0.0,0.033082215,10.0,172.5738,6.0,2.0,1.0,1.0,4865.6664,20.0
13.65,1.0,0.078946455,4.0,186.024,7.0,1.0,1.0,1.0,1118.544,18.0
17.6,0.0,0.041700756,14.0,164.8526,7.0,2.0,1.0,1.0,2302.3364,18.0
8.645,0.0,0.143422643,8.0,95.841,8.0,2.0,0.0,1.0,2027.361,13.0
15.6,1.0,0.105296072,13.0,170.1764,8.0,2.0,0.0,1.0,3435.528,13.0
15.85,1.0,0.121531501,0.0,59.222,1.0,0.0,2.0,1.0,599.22,3.0
18.25,0.0,0.0,15.0,164.7526,7.0,2.0,1.0,1.0,4604.6728,18.0
7.855,0.0,0.011324862,3.0,189.6188,2.0,1.0,1.0,1.0,2285.0256,23.0
7.825,0.0,0.186357148,9.0,254.3698,9.0,1.0,0.0,1.0,5580.7356,15.0
8.39,1.0,0.024205661,5.0,114.0176,8.0,2.0,0.0,1.0,2290.352,13.0
12.85,0.0,0.033230816,13.0,172.3422,9.0,1.0,0.0,1.0,1207.0954,15.0
10.892057754127723,0.0,0.113720344,0.0,89.9804,4.0,2.0,0.0,0.0,643.1628,1.0
19.0,0.0,0.112556507,5.0,104.9622,2.0,1.0,1.0,1.0,1587.933,23.0
5.905,0.0,0.0,3.0,222.5456,7.0,1.0,1.0,1.0,5305.0944,18.0
7.76,0.0,0.059352241,13.0,101.87,8.0,2.0,0.0,1.0,1697.79,13.0
11.8,1.0,0.014087057,5.0,180.3344,8.0,2.0,0.0,1.0,1427.4752,13.0
16.75,0.0,0.045230944,13.0,187.9556,3.0,1.0,2.0,2.0,4693.89,25.0
14.429340911013398,0.0,0.293417759,9.0,194.6136,4.0,2.0,0.0,0.0,583.2408,1.0
15.663642516473077,1.0,0.031382044,0.0,171.3764,5.0,1.0,2.0,3.0,3091.9752,1.0
15.5,1.0,0.12639886,6.0,177.0028,2.0,1.0,1.0,1.0,2479.4392,23.0
6.055,0.0,0.025403898,6.0,160.992,6.0,2.0,1.0,1.0,2716.464,20.0
16.00915916266801,1.0,0.039057677,2.0,155.963,5.0,1.0,2.0,3.0,3285.723,1.0
6.305,1.0,0.123115764,13.0,95.6436,8.0,2.0,0.0,1.0,661.8052,13.0
20.85,0.0,0.039624006,10.0,117.2808,9.0,1.0,0.0,1.0,1523.3504,15.0
20.75,0.0,0.040421193,6.0,122.173,0.0,2.0,2.0,0.0,369.519,14.0
8.895,0.0,0.105274111,4.0,39.9138,9.0,1.0,0.0,1.0,690.4346,15.0
19.6,0.0,0.033970195,14.0,55.1614,7.0,2.0,1.0,1.0,1381.535,18.0
19.7,0.0,0.053212652,6.0,57.893,6.0,2.0,1.0,1.0,622.523,20.0
9.8,0.0,0.024378706,8.0,114.5492,6.0,2.0,1.0,1.0,1274.3412,20.0
6.894687180147158,0.0,0.009714595,5.0,120.0414,4.0,2.0,0.0,0.0,487.3656,1.0
12.15,0.0,0.131383762,5.0,246.046,9.0,1.0,0.0,1.0,1231.73,15.0
8.75,1.0,0.07461309,6.0,187.4556,6.0,2.0,1.0,1.0,3755.112,20.0
11.026108343168078,0.0,0.028459761,9.0,149.9708,5.0,1.0,2.0,3.0,4363.6532,1.0
8.75,1.0,0.074627201,6.0,187.8556,8.0,2.0,0.0,1.0,1314.2892,13.0
13.3,0.0,0.063695084,5.0,151.0708,7.0,1.0,1.0,1.0,1805.6496,18.0
19.215277558413696,1.0,0.045797829,13.0,178.5344,5.0,1.0,2.0,3.0,2854.9504,1.0
8.31,1.0,0.115857223,13.0,179.1028,9.0,1.0,0.0,1.0,3896.2616,15.0
16.75,1.0,0.024832806,14.0,38.7822,1.0,0.0,2.0,1.0,667.7974,3.0
19.75,0.0,0.034027909,13.0,212.0902,3.0,1.0,2.0,2.0,3185.853,25.0
17.1,1.0,0.0467696,3.0,141.1838,1.0,0.0,2.0,1.0,2247.7408,3.0
10.5,1.0,0.116576702,0.0,163.121,1.0,0.0,2.0,1.0,1794.331,3.0
6.635,1.0,0.0,0.0,121.3098,7.0,1.0,1.0,1.0,2530.7058,18.0
10.196774970090766,0.0,0.278974075,14.0,225.372,4.0,2.0,0.0,0.0,679.116,1.0
14.15,0.0,0.035913805,14.0,41.4138,1.0,0.0,2.0,1.0,812.276,3.0
13.3,0.0,0.079806266,4.0,232.53,8.0,2.0,0.0,1.0,699.09,13.0
8.89,0.0,0.005505481,5.0,102.4016,2.0,0.0,1.0,1.0,2732.4432,23.0
13.060248897715397,1.0,0.064625342,10.0,176.937,4.0,2.0,0.0,0.0,176.437,1.0
15.900500265448764,0.0,0.071636937,13.0,121.7098,5.0,1.0,2.0,3.0,4097.3332,1.0
9.1,1.0,0.0,1.0,173.2054,7.0,1.0,1.0,1.0,3151.8972,18.0
7.5,0.0,0.032677678,5.0,239.0906,9.0,1.0,0.0,1.0,5942.265,15.0
16.85,1.0,0.160760054,5.0,192.4478,2.0,2.0,1.0,1.0,4843.695,23.0
7.485,0.0,0.06911065,13.0,109.0228,6.0,2.0,1.0,1.0,2542.0244,20.0
11.6,0.0,0.041177505,14.0,140.3154,2.0,1.0,1.0,1.0,2552.6772,23.0
11.65,0.0,0.040081193,13.0,227.0694,3.0,1.0,2.0,2.0,1141.847,25.0
13.0,0.0,0.035307322,9.0,47.5034,2.0,1.0,1.0,1.0,680.4476,23.0
12.65,0.0,0.063017847,14.0,159.0578,7.0,1.0,1.0,1.0,2085.9514,18.0
20.25,1.0,0.171938781,3.0,92.512,0.0,2.0,2.0,0.0,186.424,14.0
